"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Image Gallery","Fact Sheets"
"SPAI","","Sporobolus airoides","alkali sacaton","Photo","../factsheet/pdf/fs_spai.pdf"
"TRHY","","Trifolium hybridum","alsike clover","Photo","../factsheet/pdf/fs_trhy.pdf"
"AMBR","","Ammophila breviligulata","American beachgrass","Photo","../factsheet/pdf/fs_ambr.pdf"
"CAAM2","","Callicarpa americana","American beautyberry","Photo","../factsheet/pdf/fs_caam2.pdf"
"CESC","","Celastrus scandens","American bittersweet","Photo","../factsheet/pdf/fs_cesc.pdf"
"SANIC4","","Sambucus nigra ssp. canadensis","American black elderberry","Photo","../factsheet/pdf/fs_sanic4.pdf"
"VIOPA2","","Viburnum opulus var. americanum","American cranberrybush","Photo","../factsheet/pdf/fs_viopa2.pdf"
"CACA18","","Carpinus caroliniana","American hornbeam","Photo","../factsheet/pdf/fs_caca18.pdf"
"GLLE3","","Glycyrrhiza lepidota","American licorice","Photo","../factsheet/pdf/fs_glle3.pdf"
"PRAM","","Prunus americana","American plum","Photo","../factsheet/pdf/fs_pram.pdf"
"BESY","","Beckmannia syzigachne","American sloughgrass","Photo","../factsheet/pdf/fs_besy.pdf"
"VIAM","","Vicia americana","American vetch","Photo","../factsheet/pdf/fs_viam.pdf"
"PUTR2","","Purshia tridentata","antelope bitterbrush","Photo","../factsheet/pdf/fs_putr2.pdf"
"FEAR2","","Festuca arizonica","Arizona fescue","Photo","../factsheet/pdf/fs_fear2.pdf"
"CHTH2","","Chamaecyparis thyoides","Atlantic white cedar","Photo","../factsheet/pdf/fs_chth2.pdf"
"SICA7","","Simsia calva","awnless bushsunflower","Photo","../factsheet/pdf/fs_sica7.pdf"
"TADI2","","Taxodium distichum","bald cypress","Photo","../factsheet/pdf/fs_tadi2.pdf"
"PRMA2","","Prunus maritima","beach plum","Photo","../factsheet/pdf/fs_prma2.pdf"
"PAAN","","Panicum anceps","beaked panicgrass","Photo","../factsheet/pdf/fs_paan.pdf"
"ANGE","","Andropogon gerardii","big bluestem","Photo","../factsheet/pdf/fs_ange.pdf"
"LOCR","","Lotus crassifolius","big deervetch","Photo","../factsheet/pdf/fs_locr.pdf"
"ARTR2","","Artemisia tridentata","big sagebrush","Photo","../factsheet/pdf/fs_artr2.pdf"
"PAAM2","","Panicum amarum","bitter panicgrass","Photo","../factsheet/pdf/fs_paam2.pdf"
"FRNI","","Fraxinus nigra","black ash","Photo","../factsheet/pdf/fs_frni.pdf"
"AVGE","","Avicennia germinans","black mangrove","Photo","../factsheet/pdf/fs_avge.pdf"
"JUNI","","Juglans nigra","black walnut","Photo","../factsheet/pdf/fs_juni.pdf"
"SANI","","Salix nigra","black willow","Photo","../factsheet/pdf/fs_sani.pdf"
"RUHI2","","Rudbeckia hirta","blackeyed Susan","Photo","../factsheet/pdf/fs_ruhi2.pdf"
"NYSY","","Nyssa sylvatica","blackgum","Photo","../factsheet/pdf/fs_nysy.pdf"
"GAAR","","Gaillardia aristata","blanketflower","Photo","../factsheet/pdf/fs_gaar.pdf"
"LIPE2","","Linum perenne","blue flax","Photo","../factsheet/pdf/fs_lipe2.pdf"
"BOGR2","","Bouteloua gracilis","blue grama","Photo","../factsheet/pdf/fs_bogr2.pdf"
"DAOR2","","Dalea ornata","Blue Mountain prairie clover","Photo","../factsheet/pdf/fs_daor2.pdf"
"PSSP6","","Pseudoroegneria spicata","bluebunch wheatgrass","Photo","../factsheet/pdf/fs_pssp6.pdf"
"CACA4","","Calamagrostis canadensis","bluejoint","Photo","../factsheet/pdf/fs_caca4.pdf"
"ARALT","","Argemone albiflora ssp. texana","bluestem pricklypoppy","Photo","../factsheet/pdf/fs_aralt.pdf"
"SALA2","","Sagittaria latifolia","broadleaf arrowhead","Photo","../factsheet/pdf/fs_sala2.pdf"
"ANVI2","","Andropogon virginicus","broomsedge bluestem","Photo","../factsheet/pdf/fs_anvi2.pdf"
"QUMA2","","Quercus macrocarpa","bur oak","Photo","../factsheet/pdf/fs_quma2.pdf"
"MEPO3","","Medicago polymorpha","burclover","Photo","../factsheet/pdf/fs_mepo3.pdf"
"BASC5","","Bassia scoparia","burningbush","","../factsheet/pdf/fs_basc5.pdf"
"BASC5","KOSC","Kochia scoparia","","Photo","../factsheet/pdf/fs_kosc.pdf"
"BRCA5","","Bromus carinatus","California brome","Photo","../factsheet/pdf/fs_brca5.pdf"
"SCCA11","","Schoenoplectus californicus","California bulrush","Photo","../factsheet/pdf/fs_scca11.pdf"
"DACA3","","Danthonia californica","California oatgrass","Photo","../factsheet/pdf/fs_daca3.pdf"
"CEOR9","","Cercis orbiculata","California redbud","Photo","../factsheet/pdf/fs_ceor9.pdf"
"SOCA6","","Solidago canadensis","Canada goldenrod","Photo","../factsheet/pdf/fs_soca6.pdf"
"ELCA4","","Elymus canadensis","Canada wildrye","Photo","../factsheet/pdf/fs_elca4.pdf"
"ASCA11","","Astragalus canadensis","Canadian milkvetch","Photo","../factsheet/pdf/fs_asca11.pdf"
"BOBA3","","Bothriochloa barbinodis","cane bluestem","Photo","../factsheet/pdf/fs_boba3.pdf"
"SECE","","Secale cereale","cereal rye","Photo","../factsheet/pdf/fs_sece.pdf"
"PRAN3","","Prunus angustifolia","Chickasaw plum","Photo","../factsheet/pdf/fs_pran3.pdf"
"CAPU9","","Castanea pumila","chinquapin","Photo","../factsheet/pdf/fs_capu9.pdf"
"PRVI","","Prunus virginiana","chokecherry","Photo","../factsheet/pdf/fs_prvi.pdf"
"POPE7","","Potamogeton perfoliatus","claspingleaf pondweed","","../factsheet/pdf/fs_pope7.pdf"
"ERPE10","","Eriogonum pelinophilum","clay-loving buckwheat","Photo","../factsheet/pdf/fs_erpe10.pdf"
"CEOC2","","Cephalanthus occidentalis","common buttonbush","Photo","../factsheet/pdf/fs_ceoc2.pdf"
"CEOC","","Celtis occidentalis","common hackberry","Photo","../factsheet/pdf/fs_ceoc.pdf"
"PHAU7","","Phragmites australis","common reed","Photo","../factsheet/pdf/fs_phau7.pdf"
"JUEF","","Juncus effusus","common rush","Photo","../factsheet/pdf/fs_juef.pdf"
"SYAL","","Symphoricarpos albus","common snowberry","Photo","../factsheet/pdf/fs_syal.pdf"
"ELPA3","","Eleocharis palustris","common spikerush","Photo","../factsheet/pdf/fs_elpa3.pdf"
"HYPE","","Hypericum perforatum","common St. Johnswort","Photo","../factsheet/pdf/fs_hype.pdf"
"ERLA6","","Eriophyllum lanatum","common woolly sunflower","Photo","../factsheet/pdf/fs_erla6.pdf"
"ACMI2","","Achillea millefolium","common yarrow","Photo","../factsheet/pdf/fs_acmi2.pdf"
"SILA3","","Silphium laciniatum","compassplant","Photo","../factsheet/pdf/fs_sila3.pdf"
"AGCR","","Agropyron cristatum","crested wheatgrass","Photo","../factsheet/pdf/fs_agcr.pdf"
"TRIN3","","Trifolium incarnatum","crimson clover","Photo","../factsheet/pdf/fs_trin3.pdf"
"RASA2","","Raphanus sativus","cultivated radish","Photo","../factsheet/pdf/fs_rasa2.pdf"
"MURI2","","Muhlenbergia rigens","deergrass","Photo","../factsheet/pdf/fs_muri2.pdf"
"ALDE","","Alyssum desertorum","desert madwort","Photo","../factsheet/pdf/fs_alde.pdf"
"AGDE2","","Agropyron desertorum","desert wheatgrass","Photo","../factsheet/pdf/fs_agde2.pdf"
"LIPU","","Liatris punctata","dotted blazing star","Photo","../factsheet/pdf/fs_lipu.pdf"
"PSME","","Pseudotsuga menziesii","Douglas-fir","Photo","../factsheet/pdf/fs_psme.pdf"
"BAHA","","Baccharis halimifolia","eastern baccharis","Photo","../factsheet/pdf/fs_baha.pdf"
"TRDA3","","Tripsacum dactyloides","eastern gamagrass","Photo","../factsheet/pdf/fs_trda3.pdf"
"ECPU","","Echinacea purpurea","eastern purple coneflower","Photo","../factsheet/pdf/fs_ecpu.pdf"
"CECA4","","Cercis canadensis","eastern redbud","Photo","../factsheet/pdf/fs_ceca4.pdf"
"JUVI","","Juniperus virginiana","eastern redcedar","Photo","../factsheet/pdf/fs_juvi.pdf"
"ENPE4","","Engelmannia peristenia","Engelmann's daisy","Photo","../factsheet/pdf/fs_enpe4.pdf"
"EUGR5","","Euthamia graminifolia","flat-top goldentop","Photo","../factsheet/pdf/fs_eugr5.pdf"
"PAFL4","","Paspalum floridanum","Florida paspalum","Photo","../factsheet/pdf/fs_pafl4.pdf"
"COFL2","","Cornus florida","flowering dogwood","Photo","../factsheet/pdf/fs_cofl2.pdf"
"ATCA2","","Atriplex canescens","fourwing saltbush","Photo","../factsheet/pdf/fs_atca2.pdf"
"RHARS","","Rhus aromatica var. serotina","fragrant sumac","Photo","../factsheet/pdf/fs_rhars.pdf"
"POFR2","","Populus fremontii","Fremont cottonwood","Photo","../factsheet/pdf/fs_pofr2.pdf"
"CLFR","","Clematis fremontii","Fremont's leather flower","Photo","../factsheet/pdf/fs_clfr.pdf"
"PISA6","","Pisum sativum","garden pea","Photo","../factsheet/pdf/fs_pisa6.pdf"
"ARGI","","Arundinaria gigantea","giant cane","Photo","../factsheet/pdf/fs_argi.pdf"
"CAGI3","","Calamovilfa gigantea","giant sandreed","Photo","../factsheet/pdf/fs_cagi3.pdf"
"BEPO","","Betula populifolia","gray birch","Photo","../factsheet/pdf/fs_bepo.pdf"
